시간,dB
23:30:00,28.1
23:30:05,31.5
23:30:10,32.4
23:30:15,33.2
23:30:20,35.2
23:30:25,30.8
23:30:30,35.3
23:30:35,32.2
23:30:40,30.6
23:30:45,36.5
23:30:50,33.1
23:30:55,39.2
23:31:00,31.9
23:31:05,34.7
23:31:10,34.4
23:31:15,30.4
23:31:20,34.7
23:31:25,33.6
23:31:30,30.5
23:31:35,32.1
23:31:40,33.4
23:31:45,34.5
23:31:50,35.0
23:31:55,36.4
23:32:00,34.6
23:32:05,34.0
23:32:10,35.9
23:32:15,34.2
23:32:20,33.1
23:32:25,32.2
23:32:30,30.9
23:32:35,32.4
23:32:40,32.2
23:32:45,32.1
23:32:50,39.3
23:32:55,32.9
23:33:00,37.2
23:33:05,34.5
23:33:10,31.6
23:33:15,35.6
23:33:20,38.9
23:33:25,35.6
23:33:30,35.6
23:33:35,34.2
23:33:40,35.6
23:33:45,32.9
23:33:50,32.0
23:33:55,31.2
23:34:00,27.3
23:34:05,34.5
23:34:10,34.0
23:34:15,31.7
23:34:20,34.1
23:34:25,33.8
23:34:30,32.4
23:34:35,33.8
23:34:40,36.1
23:34:45,33.4
23:34:50,32.0
23:34:55,36.4
23:35:00,32.7
23:35:05,36.4
23:35:10,32.6
23:35:15,31.0
23:35:20,38.1
23:35:25,34.0
23:35:30,36.0
23:35:35,32.4
23:35:40,37.7
23:35:45,35.6
23:35:50,34.3
23:35:55,36.0
23:36:00,33.9
23:36:05,33.2
23:36:10,30.3
23:36:15,30.3
23:36:20,31.6
23:36:25,32.8
23:36:30,30.8
23:36:35,28.7
23:36:40,33.4
23:36:45,36.4
23:36:50,36.6
23:36:55,36.3
23:37:00,32.5
23:37:05,30.3
23:37:10,33.9
23:37:15,34.3
23:37:20,32.9
23:37:25,33.9
23:37:30,36.7
23:37:35,32.8
23:37:40,33.2
23:37:45,33.2
23:37:50,27.2
23:37:55,33.6
23:38:00,32.2
23:38:05,35.0
23:38:10,32.8
23:38:15,31.2
23:38:20,35.5
23:38:25,34.1
23:38:30,29.2
23:38:35,33.7
23:38:40,30.6
23:38:45,31.3
23:38:50,33.6
23:38:55,33.0
23:39:00,37.5
23:39:05,29.8
23:39:10,33.4
23:39:15,29.1
23:39:20,32.0
23:39:25,32.8
23:39:30,34.0
23:39:35,34.2
23:39:40,31.6
23:39:45,35.5
23:39:50,31.6
23:39:55,32.8
23:40:00,35.1
23:40:05,32.7
23:40:10,32.4
23:40:15,35.3
23:40:20,38.3
23:40:25,37.0
23:40:30,35.7
23:40:35,31.8
23:40:40,31.5
23:40:45,32.7
23:40:50,36.2
23:40:55,35.3
23:41:00,33.6
23:41:05,35.6
23:41:10,49.6
23:41:15,33.7
23:41:20,33.4
23:41:25,34.1
23:41:30,31.2
23:41:35,37.6
23:41:40,37.1
23:41:45,30.5
23:41:50,29.6
23:41:55,35.9
23:42:00,38.6
23:42:05,37.9
23:42:10,34.9
23:42:15,35.2
23:42:20,32.9
23:42:25,34.8
23:42:30,33.2
23:42:35,38.9
23:42:40,34.7
23:42:45,35.8
23:42:50,35.6
23:42:55,35.0
23:43:00,34.6
23:43:05,33.8
23:43:10,34.5
23:43:15,33.0
23:43:20,33.4
23:43:25,36.8
23:43:30,36.5
23:43:35,32.2
23:43:40,33.7
23:43:45,33.1
23:43:50,34.6
23:43:55,31.6
23:44:00,36.3
23:44:05,33.3
23:44:10,34.0
23:44:15,34.0
23:44:20,30.1
23:44:25,37.3
23:44:30,35.0
23:44:35,35.9
23:44:40,35.5
23:44:45,33.5
23:44:50,33.8
23:44:55,35.0
23:45:00,34.5
23:45:05,35.2
23:45:10,29.2
23:45:15,33.5
23:45:20,37.3
23:45:25,30.4
23:45:30,34.9
23:45:35,34.4
23:45:40,33.3
23:45:45,33.5
23:45:50,34.8
23:45:55,34.8
23:46:00,35.3
23:46:05,32.9
23:46:10,32.8
23:46:15,34.1
23:46:20,35.2
23:46:25,48.8
23:46:30,31.3
23:46:35,33.9
23:46:40,36.5
23:46:45,36.6
23:46:50,31.5
23:46:55,36.5
23:47:00,37.4
23:47:05,36.6
23:47:10,32.8
23:47:15,34.3
23:47:20,32.3
23:47:25,35.5
23:47:30,37.1
23:47:35,35.3
23:47:40,32.1
23:47:45,31.9
23:47:50,33.3
23:47:55,29.2
23:48:00,32.1
23:48:05,33.8
23:48:10,31.2
23:48:15,35.9
23:48:20,35.3
23:48:25,31.5
23:48:30,33.1
23:48:35,35.6
23:48:40,32.1
23:48:45,34.0
23:48:50,39.4
23:48:55,32.4
23:49:00,31.4
23:49:05,36.8
23:49:10,35.3
23:49:15,34.1
23:49:20,35.8
23:49:25,32.9
23:49:30,32.3
23:49:35,32.3
23:49:40,32.4
23:49:45,32.3
23:49:50,33.8
23:49:55,37.4
23:50:00,37.1
23:50:05,34.0
23:50:10,31.3
23:50:15,32.2
23:50:20,36.0
23:50:25,31.9
23:50:30,31.8
23:50:35,41.3
23:50:40,35.9
23:50:45,36.4
23:50:50,33.0
23:50:55,33.4
23:51:00,34.0
23:51:05,34.2
23:51:10,30.8
23:51:15,33.9
23:51:20,35.8
23:51:25,31.8
23:51:30,38.3
23:51:35,33.2
23:51:40,36.3
23:51:45,33.4
23:51:50,35.2
23:51:55,31.1
23:52:00,34.6
23:52:05,30.0
23:52:10,32.0
23:52:15,34.6
23:52:20,32.1
23:52:25,32.5
23:52:30,34.2
23:52:35,32.3
23:52:40,38.2
23:52:45,32.5
23:52:50,32.9
23:52:55,31.5
23:53:00,29.2
23:53:05,33.4
23:53:10,31.4
23:53:15,32.1
23:53:20,31.1
23:53:25,32.3
23:53:30,33.4
23:53:35,33.8
23:53:40,32.2
23:53:45,33.0
23:53:50,31.2
23:53:55,33.4
23:54:00,37.0
23:54:05,33.0
23:54:10,36.2
23:54:15,31.9
23:54:20,35.6
23:54:25,34.2
23:54:30,34.5
23:54:35,38.1
23:54:40,35.0
23:54:45,31.6
23:54:50,34.6
23:54:55,36.3
23:55:00,34.2
23:55:05,34.5
23:55:10,33.1
23:55:15,37.2
23:55:20,34.6
23:55:25,35.2
23:55:30,36.1
23:55:35,35.0
23:55:40,31.8
23:55:45,39.2
23:55:50,37.0
23:55:55,32.0
23:56:00,44.9
23:56:05,32.2
23:56:10,39.0
23:56:15,36.3
23:56:20,31.6
23:56:25,36.3
23:56:30,35.9
23:56:35,34.4
23:56:40,29.7
23:56:45,30.8
23:56:50,32.6
23:56:55,31.3
23:57:00,29.1
23:57:05,36.5
23:57:10,35.9
23:57:15,35.3
23:57:20,33.4
23:57:25,36.0
23:57:30,34.7
23:57:35,34.0
23:57:40,34.4
23:57:45,34.9
23:57:50,34.8
23:57:55,31.9
23:58:00,38.9
23:58:05,38.3
23:58:10,35.4
23:58:15,28.6
23:58:20,32.9
23:58:25,34.6
23:58:30,35.9
23:58:35,31.7
23:58:40,35.5
23:58:45,31.3
23:58:50,32.7
23:58:55,36.1
23:59:00,32.6
23:59:05,34.2
23:59:10,33.7
23:59:15,33.4
23:59:20,34.8
