시간,dB
23:45:00,35.9
23:45:05,38.1
23:45:10,35.6
23:45:15,56.0
23:45:20,33.3
23:45:25,33.2
23:45:30,33.6
23:45:35,40.3
23:45:40,34.7
23:45:45,35.2
23:45:50,33.6
23:45:55,34.4
23:46:00,34.1
23:46:05,35.0
23:46:10,37.9
23:46:15,39.2
23:46:20,37.7
23:46:25,34.3
23:46:30,32.3
23:46:35,36.5
23:46:40,35.4
23:46:45,36.0
23:46:50,36.5
23:46:55,37.2
23:47:00,34.7
23:47:05,37.7
23:47:10,32.5
23:47:15,34.5
23:47:20,36.7
23:47:25,38.5
23:47:30,34.5
23:47:35,33.6
23:47:40,36.1
23:47:45,34.7
23:47:50,31.1
23:47:55,34.5
23:48:00,34.4
23:48:05,38.8
23:48:10,35.0
23:48:15,38.6
23:48:20,37.5
23:48:25,36.7
23:48:30,38.5
23:48:35,36.5
23:48:40,37.9
23:48:45,33.9
23:48:50,37.0
23:48:55,32.3
23:49:00,39.5
23:49:05,33.9
23:49:10,32.4
23:49:15,35.6
23:49:20,35.5
23:49:25,40.2
23:49:30,31.6
23:49:35,41.4
23:49:40,31.6
23:49:45,39.0
23:49:50,38.9
23:49:55,36.2
23:50:00,34.0
23:50:05,36.5
23:50:10,34.0
23:50:15,37.5
23:50:20,33.2
23:50:25,37.5
23:50:30,36.3
23:50:35,35.5
23:50:40,34.5
23:50:45,37.5
23:50:50,36.9
23:50:55,38.8
23:51:00,39.5
23:51:05,33.6
23:51:10,32.6
23:51:15,33.5
23:51:20,34.2
23:51:25,34.4
23:51:30,31.7
23:51:35,31.3
23:51:40,36.2
23:51:45,32.9
23:51:50,53.5
23:51:55,37.2
23:52:00,32.8
23:52:05,34.9
23:52:10,36.0
23:52:15,39.9
23:52:20,37.4
23:52:25,31.1
23:52:30,38.7
23:52:35,32.6
23:52:40,30.4
23:52:45,32.9
23:52:50,32.8
23:52:55,31.2
23:53:00,35.2
23:53:05,31.7
23:53:10,35.3
23:53:15,37.7
23:53:20,34.4
23:53:25,33.7
23:53:30,37.3
23:53:35,36.4
23:53:40,36.1
23:53:45,35.0
23:53:50,34.2
23:53:55,33.9
23:54:00,36.4
23:54:05,35.1
23:54:10,33.3
23:54:15,38.6
23:54:20,35.8
23:54:25,33.0
23:54:30,34.2
23:54:35,36.4
23:54:40,34.5
23:54:45,37.3
23:54:50,38.8
23:54:55,38.0
23:55:00,32.1
23:55:05,36.8
23:55:10,31.9
23:55:15,31.5
23:55:20,37.4
23:55:25,40.5
23:55:30,32.4
23:55:35,40.2
23:55:40,39.0
23:55:45,33.4
23:55:50,32.7
23:55:55,33.7
23:56:00,36.9
23:56:05,37.3
23:56:10,34.1
23:56:15,32.4
23:56:20,37.2
23:56:25,31.8
23:56:30,34.7
23:56:35,33.0
23:56:40,36.4
23:56:45,27.9
23:56:50,35.4
23:56:55,32.5
23:57:00,29.7
23:57:05,37.1
23:57:10,34.0
23:57:15,36.4
23:57:20,31.2
23:57:25,32.3
23:57:30,35.7
23:57:35,36.7
23:57:40,30.8
23:57:45,34.3
23:57:50,33.5
23:57:55,40.1
23:58:00,35.0
23:58:05,32.4
23:58:10,34.8
23:58:15,55.4
23:58:20,35.1
23:58:25,33.7
23:58:30,36.9
23:58:35,30.3
23:58:40,33.1
23:58:45,35.5
23:58:50,33.3
23:58:55,39.0
23:59:00,30.7
23:59:05,41.9
23:59:10,33.5
23:59:15,35.8
23:59:20,37.4
23:59:25,30.3
23:59:30,35.8
23:59:35,35.9
23:59:40,35.5
23:59:45,33.5
23:59:50,35.6
23:59:55,39.3
00:00:00,35.0
00:00:05,38.9
00:00:10,41.4
00:00:15,35.2
00:00:20,37.9
00:00:25,34.2
00:00:30,31.2
00:00:35,35.5
00:00:40,33.8
00:00:45,36.0
00:00:50,36.4
00:00:55,37.6
00:01:00,36.5
00:01:05,38.7
00:01:10,31.5
00:01:15,35.5
00:01:20,36.9
00:01:25,31.0
00:01:30,36.2
00:01:35,32.6
00:01:40,31.1
00:01:45,33.9
00:01:50,34.1
00:01:55,36.8
00:02:00,35.0
00:02:05,29.8
00:02:10,35.0
00:02:15,35.5
00:02:20,35.1
00:02:25,34.0
00:02:30,35.5
00:02:35,34.3
00:02:40,35.6
00:02:45,28.1
00:02:50,32.2
00:02:55,38.9
00:03:00,33.8
00:03:05,37.7
00:03:10,33.4
00:03:15,33.9
00:03:20,32.2
00:03:25,32.7
00:03:30,32.5
00:03:35,31.7
00:03:40,37.8
00:03:45,33.2
00:03:50,33.8
00:03:55,30.4
00:04:00,35.6
00:04:05,34.9
00:04:10,37.9
00:04:15,33.8
00:04:20,34.6
00:04:25,34.2
00:04:30,31.4
00:04:35,40.1
00:04:40,36.0
00:04:45,35.5
00:04:50,32.5
00:04:55,32.1
00:05:00,32.4
00:05:05,34.1
00:05:10,36.2
00:05:15,40.2
00:05:20,35.9
00:05:25,33.0
00:05:30,36.8
00:05:35,33.4
00:05:40,31.1
00:05:45,33.6
00:05:50,32.7
00:05:55,31.1
00:06:00,32.0
00:06:05,34.1
00:06:10,33.4
00:06:15,33.2
00:06:20,30.3
00:06:25,33.6
00:06:30,30.3
00:06:35,35.1
00:06:40,33.2
00:06:45,32.3
00:06:50,35.4
00:06:55,36.8
00:07:00,37.2
00:07:05,35.5
00:07:10,33.2
00:07:15,35.3
00:07:20,36.4
00:07:25,32.6
00:07:30,34.4
00:07:35,42.9
00:07:40,53.5
00:07:45,37.5
00:07:50,36.7
00:07:55,34.9
00:08:00,32.3
00:08:05,38.2
00:08:10,32.5
00:08:15,29.6
00:08:20,38.7
00:08:25,36.7
00:08:30,36.0
00:08:35,36.6
00:08:40,38.6
00:08:45,33.8
00:08:50,33.8
00:08:55,33.4
00:09:00,29.9
00:09:05,33.9
00:09:10,31.4
00:09:15,34.9
00:09:20,37.5
00:09:25,38.5
00:09:30,34.8
00:09:35,33.1
00:09:40,33.2
00:09:45,28.9
00:09:50,32.4
00:09:55,35.9
00:10:00,36.7
00:10:05,37.8
00:10:10,36.2
00:10:15,33.1
00:10:20,36.1
00:10:25,36.1
00:10:30,38.2
00:10:35,33.8
00:10:40,32.7
00:10:45,35.4
00:10:50,36.8
00:10:55,36.4
00:11:00,33.7
00:11:05,35.0
00:11:10,37.4
00:11:15,31.0
00:11:20,32.4
00:11:25,33.5
00:11:30,35.7
00:11:35,38.3
00:11:40,34.9
00:11:45,32.2
00:11:50,35.7
00:11:55,33.8
00:12:00,35.8
00:12:05,36.2
00:12:10,35.9
00:12:15,36.2
00:12:20,33.3
00:12:25,34.6
00:12:30,36.2
00:12:35,35.5
00:12:40,35.4
00:12:45,33.9
00:12:50,33.1
00:12:55,35.1
00:13:00,38.9
00:13:05,31.7
00:13:10,37.8
00:13:15,47.6
00:13:20,34.8
00:13:25,34.5
00:13:30,58.5
00:13:35,33.8
00:13:40,34.4
00:13:45,34.9
00:13:50,35.0
00:13:55,34.8
00:14:00,34.8
00:14:05,33.9
00:14:10,35.9
00:14:15,36.4
00:14:20,44.7
00:14:25,38.6
00:14:30,34.6
00:14:35,34.6
00:14:40,33.4
00:14:45,35.7
00:14:50,31.7
00:14:55,33.3
00:15:00,32.7
00:15:05,38.8
00:15:10,33.3
00:15:15,33.4
00:15:20,35.7
00:15:25,33.5
00:15:30,46.7
00:15:35,31.6
00:15:40,37.6
00:15:45,40.3
00:15:50,31.6
00:15:55,36.9
00:16:00,34.8
00:16:05,37.1
00:16:10,38.1
00:16:15,34.0
00:16:20,34.0
00:16:25,36.4
00:16:30,32.5
00:16:35,36.8
00:16:40,36.5
00:16:45,36.7
00:16:50,36.3
00:16:55,36.1
00:17:00,36.6
00:17:05,35.0
00:17:10,34.4
00:17:15,34.3
00:17:20,34.7
00:17:25,34.4
00:17:30,36.0
00:17:35,34.7
00:17:40,32.4
00:17:45,35.7
00:17:50,34.4
00:17:55,38.2
00:18:00,31.8
00:18:05,34.1
00:18:10,35.9
00:18:15,30.4
00:18:20,30.8
00:18:25,32.4
00:18:30,35.3
00:18:35,34.4
00:18:40,32.2
00:18:45,35.2
00:18:50,35.3
00:18:55,40.3
00:19:00,35.5
00:19:05,32.1
00:19:10,34.3
00:19:15,37.3
00:19:20,37.6
00:19:25,37.9
00:19:30,51.1
00:19:35,34.6
00:19:40,38.0
00:19:45,37.9
00:19:50,52.9
00:19:55,33.1
00:20:00,32.5
00:20:05,35.2
00:20:10,36.2
00:20:15,38.3
00:20:20,36.3
00:20:25,36.5
00:20:30,38.6
00:20:35,30.9
00:20:40,38.5
00:20:45,41.7
00:20:50,34.5
00:20:55,35.2
00:21:00,34.9
00:21:05,31.6
00:21:10,41.2
00:21:15,34.5
00:21:20,34.2
00:21:25,29.8
00:21:30,34.7
00:21:35,34.5
00:21:40,36.0
00:21:45,33.1
00:21:50,33.5
00:21:55,27.5
00:22:00,37.0
00:22:05,33.3
00:22:10,37.5
00:22:15,31.8
00:22:20,33.5
00:22:25,38.3
00:22:30,31.7
00:22:35,35.1
00:22:40,38.5
00:22:45,40.0
00:22:50,32.6
00:22:55,37.0
00:23:00,38.7
00:23:05,32.8
00:23:10,33.8
00:23:15,32.5
00:23:20,34.9
00:23:25,35.0
00:23:30,36.2
00:23:35,34.9
00:23:40,37.0
00:23:45,34.2
00:23:50,32.8
00:23:55,29.3
00:24:00,36.0
00:24:05,34.6
00:24:10,37.2
00:24:15,31.2
00:24:20,35.1
00:24:25,38.0
00:24:30,38.1
00:24:35,35.7
00:24:40,33.4
00:24:45,32.5
00:24:50,32.5
00:24:55,34.2
00:25:00,35.0
00:25:05,36.9
00:25:10,32.2
00:25:15,38.9
00:25:20,33.3
00:25:25,35.6
00:25:30,34.0
00:25:35,33.0
00:25:40,37.2
00:25:45,37.4
00:25:50,38.4
00:25:55,30.7
00:26:00,33.6
00:26:05,38.9
00:26:10,38.0
00:26:15,34.4
00:26:20,34.0
00:26:25,29.6
00:26:30,34.5
00:26:35,38.5
00:26:40,34.4
00:26:45,33.1
00:26:50,35.5
00:26:55,30.0
00:27:00,37.4
00:27:05,33.8
00:27:10,36.2
00:27:15,39.0
00:27:20,34.3
00:27:25,33.3
